seed,condition,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count,priority_reroute_count,video_throttle_count,stale_badge_count,pace_switch_count
2026,full_tsra_r,adaptive_memory_full_tsra_r,1.0,0.5,0.125,0.01591187270501836,8.5,3.0,0.13337260301917586,389.0,5.0,75.0,5.0,23.0,5.0,7.0,8.0,3.0
2026,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.019005847953216373,8.5,1.0,0.1015862573099415,375.0,3.0,81.0,5.0,20.0,7.0,4.0,8.0,1.0
2027,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.013138686131386862,9.5,3.0,0.13865267639902676,382.0,9.0,85.0,5.0,25.0,8.0,6.0,8.0,3.0
2027,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.0136986301369863,8.5,1.0,0.09893264840182647,342.0,5.0,67.0,5.0,21.0,8.0,4.0,8.0,1.0
2028,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.03538461538461538,9.5,3.0,0.149775641025641,337.0,13.0,69.0,5.0,25.0,7.0,7.0,8.0,3.0
2028,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.035114503816793895,9.5,1.0,0.11630725190839694,313.0,10.0,68.0,5.0,16.0,5.0,1.0,9.0,1.0
2029,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.04821150855365474,9.5,3.0,0.1561890876101607,360.0,11.0,79.0,5.0,22.0,6.0,6.0,7.0,3.0
2029,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.03554868624420402,9.5,1.0,0.116524343122102,334.0,7.0,68.0,5.0,17.0,6.0,3.0,7.0,1.0
2030,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.020558002936857563,9.5,3.0,0.1423623348017621,368.0,6.0,73.0,5.0,24.0,7.0,6.0,8.0,3.0
2030,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.020588235294117647,8.5,1.0,0.10237745098039215,346.0,5.0,72.0,5.0,19.0,7.0,3.0,8.0,1.0
2031,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.27435064935064934,9.5,3.0,0.269258658008658,333.0,8.0,71.0,5.0,21.0,4.0,6.0,8.0,3.0
2031,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.0319634703196347,9.5,1.0,0.11473173515981734,345.0,1.0,79.0,5.0,18.0,6.0,3.0,8.0,1.0
2032,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.02857142857142857,9.5,3.0,0.14636904761904762,357.0,10.0,74.0,5.0,22.0,5.0,6.0,8.0,3.0
2032,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.011816838995568686,8.5,1.0,0.09799175283111766,349.0,8.0,80.0,5.0,20.0,7.0,4.0,8.0,1.0
2033,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.010687022900763359,9.5,3.0,0.13742684478371503,353.0,13.0,78.0,5.0,24.0,7.0,6.0,8.0,3.0
2033,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.020771513353115726,8.5,1.0,0.10246909000989118,347.0,8.0,73.0,5.0,20.0,7.0,4.0,8.0,1.0
2034,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.016,9.5,3.0,0.14008333333333334,331.0,7.0,77.0,5.0,22.0,5.0,6.0,8.0,3.0
2034,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.007462686567164179,9.5,1.0,0.10248134328358208,343.0,2.0,76.0,5.0,17.0,7.0,1.0,8.0,1.0
2035,full_tsra_r,adaptive_memory_full_tsra_r,1.0,0.5,0.125,0.006180469715698393,8.5,3.0,0.12850690152451585,380.0,6.0,79.0,5.0,27.0,8.0,7.0,9.0,3.0
2035,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.0058823529411764705,8.5,1.0,0.09502450980392156,361.0,6.0,85.0,5.0,19.0,7.0,3.0,8.0,1.0
2036,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.004026845637583893,9.5,3.0,0.1340967561521253,351.0,8.0,67.0,5.0,27.0,9.0,7.0,8.0,3.0
2036,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.0045385779122541605,9.5,1.0,0.10101928895612707,351.0,1.0,75.0,5.0,24.0,10.0,4.0,9.0,1.0
2037,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.08739255014326648,9.5,3.0,0.17577960840496654,375.0,8.0,91.0,5.0,23.0,5.0,7.0,8.0,3.0
2037,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.016541353383458645,8.5,1.0,0.10035401002506264,351.0,3.0,89.0,5.0,18.0,7.0,3.0,7.0,1.0
2038,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.027607361963190184,9.5,3.0,0.14588701431492843,369.0,7.0,92.0,5.0,24.0,7.0,6.0,8.0,3.0
