threshold,seed,experiment,mission_impact,p95_critical_latency_sec,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,defense_count,attack_count,ml_alert_count,core_defense_count,pre_first_defense_events,first_ml_alert_latency_sec,alert_active_overlap_rate,opened_window_count,no_op_count,below_threshold_count,above_threshold_count,avg_trace_probability,max_trace_probability,safety_boundary
0.55,4100,ML_threshold_0.55_seed_4100,0.15239583333333334,2.0,0.125,0.040625,9.5,31.0,5.0,9,22,0,10,1,38,42,23,38,0.698698,0.980866,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4101,ML_threshold_0.55_seed_4101,0.13616058655221744,2.0,0.125,0.04148783977110158,9.5,30.0,5.0,9,21,0,20,1,46,38,16,45,0.7814,0.976898,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4102,ML_threshold_0.55_seed_4102,0.1548820754716981,2.0,0.125,0.04559748427672956,9.5,30.0,5.0,9,21,0,15,1,39,41,23,38,0.701079,0.970265,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4103,ML_threshold_0.55_seed_4103,0.16434139784946236,2.0,0.125,0.06451612903225806,9.5,32.0,5.0,9,23,0,25,1,45,38,17,44,0.770274,0.975694,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4104,ML_threshold_0.55_seed_4104,0.1539451104842501,2.0,0.125,0.04372355430183357,9.5,33.0,5.0,10,23,0,15,1,47,35,15,46,0.786521,0.9767,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4105,ML_threshold_0.55_seed_4105,0.14427728106373222,1.25,0.125,0.0343878954607978,8.75,33.0,5.0,9,24,0,20,1,46,36,16,45,0.78106,0.973922,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4106,ML_threshold_0.55_seed_4106,0.15047088637435171,2.0,0.125,0.036775106082036775,9.5,31.0,5.0,9,22,0,20,1,46,39,16,45,0.7816,0.974431,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4107,ML_threshold_0.55_seed_4107,0.16508895131086143,2.0,0.125,0.06601123595505617,9.5,33.0,5.0,9,24,0,25,1,44,38,17,44,0.76966,0.978089,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4108,ML_threshold_0.55_seed_4108,0.15117914979757086,2.0,0.125,0.07152496626180836,9.5,30.0,5.0,9,21,0,20,1,45,40,16,45,0.777537,0.978089,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.55,4109,ML_threshold_0.55_seed_4109,0.14805374238468233,2.0,0.125,0.06527415143603134,9.5,30.0,5.0,9,21,0,20,1,45,40,16,45,0.776185,0.978089,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4100,ML_threshold_0.65_seed_4100,0.15239583333333334,2.0,0.125,0.040625,9.5,31.0,5.0,9,22,0,10,1,38,42,23,38,0.698698,0.980866,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4101,ML_threshold_0.65_seed_4101,0.13616058655221744,2.0,0.125,0.04148783977110158,9.5,30.0,5.0,9,21,0,20,1,46,38,16,45,0.7814,0.976898,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4102,ML_threshold_0.65_seed_4102,0.1548820754716981,2.0,0.125,0.04559748427672956,9.5,30.0,5.0,9,21,0,15,1,39,41,23,38,0.701079,0.970265,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4103,ML_threshold_0.65_seed_4103,0.16434139784946236,2.0,0.125,0.06451612903225806,9.5,32.0,5.0,9,23,0,25,1,45,38,17,44,0.770274,0.975694,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4104,ML_threshold_0.65_seed_4104,0.1539451104842501,2.0,0.125,0.04372355430183357,9.5,33.0,5.0,10,23,0,15,1,47,35,15,46,0.786521,0.9767,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4105,ML_threshold_0.65_seed_4105,0.14427728106373222,1.25,0.125,0.0343878954607978,8.75,33.0,5.0,9,24,0,20,1,46,36,16,45,0.78106,0.973922,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4106,ML_threshold_0.65_seed_4106,0.15047088637435171,2.0,0.125,0.036775106082036775,9.5,31.0,5.0,9,22,0,20,1,46,39,16,45,0.7816,0.974431,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4107,ML_threshold_0.65_seed_4107,0.16508895131086143,2.0,0.125,0.06601123595505617,9.5,33.0,5.0,9,24,0,25,1,44,38,17,44,0.76966,0.978089,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4108,ML_threshold_0.65_seed_4108,0.15117914979757086,2.0,0.125,0.07152496626180836,9.5,30.0,5.0,9,21,0,20,1,45,40,16,45,0.777537,0.978089,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,4109,ML_threshold_0.65_seed_4109,0.14805374238468233,2.0,0.125,0.06527415143603134,9.5,30.0,5.0,9,21,0,20,1,45,40,16,45,0.776185,0.978089,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.75,4100,ML_threshold_0.75_seed_4100,0.15239583333333334,2.0,0.125,0.040625,9.5,31.0,5.0,9,22,0,10,1,38,42,23,38,0.698698,0.980866,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.75,4101,ML_threshold_0.75_seed_4101,0.13616058655221744,2.0,0.125,0.04148783977110158,9.5,30.0,5.0,9,21,0,20,1,46,38,16,45,0.7814,0.976898,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.75,4102,ML_threshold_0.75_seed_4102,0.1548820754716981,2.0,0.125,0.04559748427672956,9.5,30.0,5.0,9,21,0,15,1,39,41,23,38,0.701079,0.970265,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.75,4103,ML_threshold_0.75_seed_4103,0.16434139784946236,2.0,0.125,0.06451612903225806,9.5,32.0,5.0,9,23,0,25,1,45,38,17,44,0.770274,0.975694,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
