seed,condition,disabled_action,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2026,full,none,tsra_ablation_full,1.2999999999999972,0.5,0.125,0.019345238095238096,8.799999999999997,1.0,0.10375595238095237,367.0,1.0,75.0,5.0,22.0
2026,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.4645550527903469,9.5,3.0,0.33208333333333334,369.0,9.0,75.0,5.0,17.0
2026,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0499999999999972,0.5,0.125,0.01903367496339678,8.549999999999997,1.0,0.10193350414836502,356.0,0.0,80.0,5.0,16.0
2026,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,1.2999999999999972,0.5,0.5,0.019345238095238096,31.299999999999997,1.0,0.3100059523809524,367.0,1.0,75.0,5.0,14.0
2026,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.021739130434782608,9.5,0.0,0.09295289855072462,348.0,3.0,85.0,5.0,24.0
2027,full,none,tsra_ablation_full,2.0,0.5,0.125,0.0141287284144427,9.5,2.0,0.12248103087388801,371.0,9.0,81.0,5.0,24.0
2027,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,5.699999999999974,0.5,0.125,0.47234678624813153,13.199999999999974,3.0,0.3567499999999998,368.0,6.0,83.0,5.0,16.0
2027,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.012893982808022923,8.5,1.0,0.09853032473734478,365.0,4.0,83.0,5.0,16.0
2027,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.0141287284144427,32.0,2.0,0.328731030873888,371.0,9.0,81.0,5.0,15.0
2027,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.015151515151515152,9.5,0.0,0.0896590909090909,339.0,2.0,69.0,5.0,21.0
2028,full,none,tsra_ablation_full,2.0,0.5,0.125,0.047619047619047616,9.5,2.0,0.13922619047619048,338.0,13.0,79.0,5.0,21.0
2028,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.42512908777969016,9.5,3.0,0.33208333333333334,326.0,11.0,80.0,5.0,17.0
2028,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.034074074074074076,8.5,1.0,0.10912037037037037,349.0,9.0,83.0,5.0,17.0
2028,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.047619047619047616,32.0,2.0,0.34547619047619044,338.0,13.0,79.0,5.0,13.0
