experiment,episode_id,attack_event_id,attack_time_sec,attack_type,attack_agent,required_response_latency_sec,first_defense_latency_sec,first_operator_alert_latency_sec,metric_peak_latency_sec,impact_reduction_from_peak,response_status,coordination_class,coordination_status,coordination_signal,safety_boundary
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-01,atk-00001,60,queue_pressure,AURA,0,0,5,0,0.0626556,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=5; metric_peak_latency=0; impact_reduction_from_peak=0.0626556; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-02,atk-00002,110,queue_pressure,AURA,0,0,15,0,0.0194333,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=15; metric_peak_latency=0; impact_reduction_from_peak=0.0194333; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-03,atk-00003,160,queue_pressure,AURA,0,0,10,0,0.00546539,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=10; metric_peak_latency=0; impact_reduction_from_peak=0.00546539; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-04,atk-00004,210,queue_pressure,AURA,0,0,25,0,0.0201095,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=25; metric_peak_latency=0; impact_reduction_from_peak=0.0201095; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-05,atk-00005,260,queue_pressure,AURA,0,0,5,5,0.00119899,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=5; metric_peak_latency=5; impact_reduction_from_peak=0.00119899; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-01,ml-atk-00001,60,queue_pressure,AURA,20,20,20,15,0.205612,complete,ml_reactive_window,pass,required_response_latency=20; first_defense_latency=20; first_operator_alert_latency=20; metric_peak_latency=15; impact_reduction_from_peak=0.205612; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-02,ml-atk-00002,110,failover_chasing,AURA,0,0,5,0,0.0213565,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=5; metric_peak_latency=0; impact_reduction_from_peak=0.0213565; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-03,ml-atk-00003,160,queue_pressure,AURA,0,0,0,0,0.05886,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=0; metric_peak_latency=0; impact_reduction_from_peak=0.05886; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-04,ml-atk-00004,210,failover_chasing,AURA,0,0,0,20,0.0205729,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=0; metric_peak_latency=20; impact_reduction_from_peak=0.0205729; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-05,ml-atk-00005,260,failover_chasing,AURA,0,0,10,0,0.00262202,complete,prepositioned_defense,pass,required_response_latency=0; first_defense_latency=0; first_operator_alert_latency=10; metric_peak_latency=0; impact_reduction_from_peak=0.00262202; issues=none,"closed simulation coordination-latency audit only; no RF, exploit, or live network action"
