experiment,episode_id,attack_event_id,attack_time_sec,attack_agent,attack_type,target_link,attack_decision_basis,attack_selection_margin,attack_threshold_margin,response_status,first_required_response_latency_sec,covered_required_defenses,defense_event_count_in_window,improved_defense_events,held_defense_events,degraded_or_delayed_defense_events,defense_actions_in_window,start_mission_impact,peak_mission_impact,end_mission_impact,impact_reduction_from_peak,outcome,scorecard_status,scorecard_notes,safety_boundary
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-01,atk-00001,60,AURA,queue_pressure,SATCOM,top_attack_score_minus_runner_up_and_threshold,0.109464,0.423691,complete,0,"priority_reroute, stale_badge",5,5,0,0,"pace_switch, priority_reroute, stale_badge, video_throttle",0.170655,0.170655,0.107999,0.0626556,contained after peak degradation,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-02,atk-00002,110,AURA,queue_pressure,LTE,top_attack_score_minus_runner_up_and_threshold,0.001674,0.796763,complete,0,"priority_reroute, stale_badge",3,0,1,2,"priority_reroute, stale_badge, video_throttle",0.0975179,0.0975179,0.0780845,0.0194333,held near attack-time impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-03,atk-00003,160,AURA,queue_pressure,MESH,top_attack_score_minus_runner_up_and_threshold,0.051469,0.8275,complete,0,"priority_reroute, stale_badge",4,1,3,0,"priority_reroute, stale_badge, video_throttle",0.127164,0.127164,0.121698,0.00546539,held near attack-time impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-04,atk-00004,210,AURA,queue_pressure,MESH,top_attack_score_minus_runner_up_and_threshold,0.057984,0.8275,complete,0,"priority_reroute, stale_badge",3,0,0,3,"pace_switch, priority_reroute, video_throttle",0.120809,0.120809,0.1007,0.0201095,held near attack-time impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-05,atk-00005,260,AURA,queue_pressure,LTE,top_attack_score_minus_runner_up_and_threshold,0.046724,0.7835,complete,0,"priority_reroute, stale_badge",3,0,3,0,"stale_badge, video_throttle",0.100367,0.134572,0.133373,0.00119899,covered with residual mission impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-01,ml-atk-00001,60,AURA,queue_pressure,SATCOM,top_attack_score_minus_runner_up_and_threshold,0.072803,0.459505,complete,20,"priority_reroute, stale_badge",5,4,1,0,"ml_attack_alert, pace_switch, priority_reroute, stale_badge, video_throttle",0.376905,0.437917,0.232305,0.205612,contained after peak degradation,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-02,ml-atk-00002,110,AURA,failover_chasing,LTE,top_attack_score_minus_runner_up_and_threshold,0.018343,0.721793,complete,0,ml_attack_alert,6,4,2,0,"ml_attack_alert, priority_reroute, stale_badge, video_throttle",0.211596,0.211596,0.190239,0.0213565,held near attack-time impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-03,ml-atk-00003,160,AURA,queue_pressure,LTE,top_attack_score_minus_runner_up_and_threshold,0.09985,0.798255,complete,0,"priority_reroute, stale_badge",6,4,2,0,"ml_attack_alert, pace_switch, priority_reroute, stale_badge, video_throttle",0.201798,0.201798,0.142938,0.05886,contained after peak degradation,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-04,ml-atk-00004,210,AURA,failover_chasing,MESH,top_attack_score_minus_runner_up_and_threshold,0.046648,0.625517,complete,0,ml_attack_alert,7,1,3,3,"ml_attack_alert, pace_switch, priority_reroute, stale_badge, video_throttle",0.141337,0.144298,0.123725,0.0205729,held near attack-time impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-05,ml-atk-00005,260,AURA,failover_chasing,LTE,top_attack_score_minus_runner_up_and_threshold,0.048348,0.624854,complete,0,ml_attack_alert,4,0,4,0,"ml_attack_alert, stale_badge, video_throttle",0.157241,0.157241,0.154619,0.00262202,held near attack-time impact,pass,"attack choice, defense response, and metric movement are linked","closed simulation agent-engagement scorecard only; no RF, exploit, or live network action"
