experiment,episode_id,attack_event_id,attack_time_sec,attack_agent,attack_type,target_link,attack_reason,expected_mission_impact,attack_score,response_status,required_defenses,covered_required_defenses,first_required_response_latency_sec,defense_chain,operator_alert_chain,start_mission_impact,peak_mission_impact,end_mission_impact,peak_p95_critical_latency_sec,peak_trusted_stale_exposure,peak_priority_inversion_rate,mission_impact_delta_start_to_end,impact_reduction_from_peak,outcome,residual_risk,safety_boundary
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-01,atk-00001,60,AURA,queue_pressure,SATCOM,increase non-critical queue occupancy,0.566191,0.543691,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",0,active=stale_badge@20-until-110; stale_badge@50-until-140 | response=priority_reroute@65-until-135; video_throttle@65-until-125; pace_switch@75-until-175; stale_badge@80-until-170; video_throttle@100-until-160,t=65; def-00003; priority_reroute; severity=high; Critical traffic is waiting behind lower-priority load. || t=65; def-00004; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=75; def-00005; pace_switch; severity=high; PACE switch selected target=LTE; reason=SATCOM degraded beyond mission threshold. || t=80; def-00006; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=100; def-00007; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity.,0.170655,0.170655,0.107999,2.4,0.125,0.190476,-0.0626556,0.0626556,contained after peak degradation,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-02,atk-00002,110,AURA,queue_pressure,LTE,increase non-critical queue occupancy,0.939263,0.916763,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",0,active=stale_badge@20-until-110; stale_badge@50-until-140; priority_reroute@65-until-135; video_throttle@65-until-125; pace_switch@75-until-175; stale_badge@80-until-170; video_throttle@100-until-160 | response=priority_reroute@125-until-195; video_throttle@135-until-195; stale_badge@140-until-230,t=125; def-00008; priority_reroute; severity=high; Critical traffic is waiting behind lower-priority load. || t=135; def-00009; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=140; def-00010; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5.,0.0975179,0.0975179,0.0780845,1.4,0.0625,0.0742857,-0.0194333,0.0194333,held near attack-time impact,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-03,atk-00003,160,AURA,queue_pressure,LTE,increase non-critical queue occupancy,1,0.9775,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",0,active=pace_switch@75-until-175; stale_badge@80-until-170; video_throttle@100-until-160; priority_reroute@125-until-195; video_throttle@135-until-195; stale_badge@140-until-230 | response=stale_badge@170-until-260; video_throttle@170-until-230; priority_reroute@175-until-245; priority_reroute@200-until-270; stale_badge@200-until-290,t=170; def-00011; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=170; def-00012; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=175; def-00013; priority_reroute; severity=medium; Critical traffic is waiting behind lower-priority load. || t=200; def-00014; priority_reroute; severity=medium; Critical traffic is waiting behind lower-priority load. || t=200; def-00015; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5.,0.110655,0.115123,0.112973,2,0.125,0.0371429,0.00231843,0.0021496,held near attack-time impact,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-04,atk-00004,210,AURA,queue_pressure,LTE,increase non-critical queue occupancy,1,0.9475,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",0,active=stale_badge@140-until-230; stale_badge@170-until-260; video_throttle@170-until-230; priority_reroute@175-until-245; priority_reroute@200-until-270; stale_badge@200-until-290; video_throttle@205-until-265 | response=video_throttle@240-until-300; priority_reroute@245-until-315,t=240; def-00017; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=245; def-00018; priority_reroute; severity=medium; Critical traffic is waiting behind lower-priority load.,0.112348,0.112348,0.0727585,2,0.125,0.0271967,-0.0395898,0.0395898,held near attack-time impact,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-episode-05,atk-00005,260,AURA,queue_pressure,LTE,increase non-critical queue occupancy,0.956,0.9035,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",0,active=stale_badge@170-until-260; priority_reroute@200-until-270; stale_badge@200-until-290; video_throttle@205-until-265; video_throttle@240-until-300; priority_reroute@245-until-315 | response=stale_badge@265-until-355; priority_reroute@270-until-340; video_throttle@275-until-335; stale_badge@295-until-385,t=265; def-00019; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=270; def-00020; priority_reroute; severity=medium; Critical traffic is waiting behind lower-priority load. || t=275; def-00021; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=295; def-00022; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5.,0.0717066,0.105899,0.103756,1.45,0.125,0.0219966,0.0320493,0.00214269,covered with residual mission impact,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-01,ml-atk-00001,60,AURA,queue_pressure,SATCOM,ML impact predictor selected queue_pressure,0.602005,0.579505,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",10,response=priority_reroute@70-until-140; stale_badge@70-until-160; pace_switch@70-until-170; video_throttle@70-until-130; ml_attack_alert@80-until-150,t=70; def-00001; priority_reroute; severity=high; Critical traffic is waiting behind lower-priority load. || t=70; def-00002; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=70; def-00003; pace_switch; severity=high; PACE switch selected target=LTE; reason=SATCOM degraded beyond mission threshold. || t=70; def-00004; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=80; def-00005; ml_attack_alert; severity=high; ML detector flags attack-like degradation probability=0.955265 above threshold=0.75.,0.376905,0.383116,0.131467,4.9,0.5,0.234568,-0.245438,0.251649,contained after peak degradation,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-02,ml-atk-00002,110,AURA,failover_chasing,LTE,ML impact predictor selected failover_chasing,0.836848,0.841848,complete,ml_attack_alert,ml_attack_alert,0,active=priority_reroute@70-until-140; stale_badge@70-until-160; pace_switch@70-until-170; video_throttle@70-until-130; ml_attack_alert@80-until-150; ml_attack_alert@105-until-175; priority_reroute@105-until-175; stale_badge@105-until-195; video_throttle@105-until-165 | response=ml_attack_alert@130-until-200; priority_reroute@130-until-200; video_throttle@140-until-200; pace_switch@150-until-250,t=130; def-00010; ml_attack_alert; severity=high; ML detector flags attack-like degradation probability=0.972249 above threshold=0.75. || t=130; def-00011; priority_reroute; severity=high; Critical traffic is waiting behind lower-priority load. || t=140; def-00012; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=150; def-00013; pace_switch; severity=high; PACE switch selected target=MESH; reason=fallback link degraded beyond mission threshold.,0.114622,0.132338,0.10647,1.3,0.125,0.109827,-0.00815203,0.025868,held near attack-time impact,Failover chasing is detected by the ML defense window; PACE support may already be active or may expire before a later attack window.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-03,ml-atk-00003,160,AURA,failover_chasing,MESH,ML impact predictor selected failover_chasing,0.822403,0.817403,complete,ml_attack_alert,ml_attack_alert,0,active=stale_badge@70-until-160; pace_switch@70-until-170; ml_attack_alert@105-until-175; priority_reroute@105-until-175; stale_badge@105-until-195; video_throttle@105-until-165; ml_attack_alert@130-until-200; priority_reroute@130-until-200; video_throttle@140-until-200; pace_switch@150-until-250; ml_attack_alert@155-until-225; stale_badge@160-until-250 | response=priority_reroute@175-until-245; stale_badge@190-until-280,t=160; def-00015; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=175; def-00016; priority_reroute; severity=high; Critical traffic is waiting behind lower-priority load. || t=190; def-00017; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5.,0.137802,0.13899,0.137665,2,0.125,0.058104,-0.000137078,0.00132496,held near attack-time impact,Failover chasing is detected by the ML defense window; PACE support may already be active or may expire before a later attack window.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-04,ml-atk-00004,210,AURA,queue_pressure,MESH,ML impact predictor selected queue_pressure,0.801872,0.779372,complete,"priority_reroute, stale_badge","priority_reroute, stale_badge",0,active=pace_switch@150-until-250; ml_attack_alert@155-until-225; stale_badge@160-until-250; priority_reroute@175-until-245; stale_badge@190-until-280; video_throttle@205-until-265 | response=ml_attack_alert@220-until-290; priority_reroute@220-until-290; stale_badge@235-until-325; video_throttle@240-until-300; ml_attack_alert@245-until-315,t=220; def-00019; ml_attack_alert; severity=high; ML detector flags attack-like degradation probability=0.88058 above threshold=0.75. || t=220; def-00020; priority_reroute; severity=medium; Critical traffic is waiting behind lower-priority load. || t=235; def-00021; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=240; def-00022; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=245; def-00023; ml_attack_alert; severity=high; ML detector flags attack-like degradation probability=0.936032 above threshold=0.75.,0.136148,0.136148,0.0986017,2,0.125,0.0421286,-0.0375459,0.0375459,held near attack-time impact,Queue pressure can still create residual latency until reroute and throttling take effect.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-episode-05,ml-atk-00005,260,AURA,stale_cop_induction,MESH,ML impact predictor selected stale_cop_induction,0.661893,0.779393,complete,stale_badge,stale_badge,0,active=stale_badge@190-until-280; video_throttle@205-until-265; ml_attack_alert@220-until-290; priority_reroute@220-until-290; stale_badge@235-until-325; video_throttle@240-until-300; ml_attack_alert@245-until-315; priority_reroute@260-until-330; pace_switch@260-until-360 | response=ml_attack_alert@270-until-340; stale_badge@270-until-360; video_throttle@275-until-335; ml_attack_alert@295-until-365; stale_badge@300-until-390,t=260; def-00024; priority_reroute; severity=medium; Critical traffic is waiting behind lower-priority load. || t=260; def-00025; pace_switch; severity=high; PACE switch selected target=LTE; reason=fallback link degraded beyond mission threshold. || t=270; def-00026; ml_attack_alert; severity=high; ML detector flags attack-like degradation probability=0.930785 above threshold=0.75. || t=270; def-00027; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5. || t=275; def-00028; video_throttle; severity=medium; Video traffic is being reduced to protect critical capacity. || t=295; def-00029; ml_attack_alert; severity=high; ML detector flags attack-like degradation probability=0.9331 above threshold=0.75. || t=300; def-00030; stale_badge; severity=medium; COP stale confidence badge active; stale_ratio=0.5.,0.114642,0.14835,0.146587,2,0.125,0.0338681,0.0319448,0.00176331,covered with residual mission impact,Stale badge reduces trusted stale exposure but cannot recreate missing freshness.,"closed simulation closed-loop replay only; no RF, exploit, or live network action"
